ArticleNo|RawParagraph|Prediction
4.0|δ. Tην επιμέλεια συγκέντρωσης, καταγραφής και αρχειοθέτησης του εκπαιδευτικού υλικού που παράγεται  για τις ανάγκες υλοποίησης των προγραμμάτων του  Ε.Κ.Δ.Δ.Α., καθώς και των τελικών εργασιών των σπουδαστών της Εθνικής Σχολής Δημόσιας Διοίκησης και  της Εθνικής Σχολής Τοπικής Αυτοδιοίκησης.|RespA
4.0|ε. Τη συνεργασία με βιβλιοθήκες, κέντρα ερευνών,  μελετών και τεκμηρίωσης εσωτερικού και εξωτερικού,  καθώς και με άλλους οργανισμούς, ιδρύματα και λοιπούς  φορείς που ασχολούνται με τη συλλογή, ταξινόμηση και  τήρηση στοιχείων που ενδιαφέρουν το Ε.Κ.Δ.Δ.Α.|RespA
4.0|στ. Την προσφορά υπηρεσιών για κάλυψη αναγκών  χρήσης της Βιβλιοθήκης από Άτομα με Αναπηρία  (ΑμΕΑ), σε συνεργασία με το αντίστοιχο γραφείο του  Ε.Κ.Δ.Δ.Α.|RespA
4.0|ζ. Τη μέριμνα για τη σύνδεση της Βιβλιοθήκης με  εθνικά (πχ Εθνικό Κέντρο Τεκμηρίωσης κλπ) και διεθνή  κέντρα πληροφόρησης.|RespA
4.0|η. Τη διαμόρφωση προτάσεων για εφαρμογές καινοτομίας στις υπηρεσίες και λειτουργίες της Βιβλιοθήκης.|RespA
4.0|θ. Τη μέριμνα για τη συντήρηση, πρόληψη φθοράς  και αποκατάσταση φθαρμένου υλικού καθώς και για τη  βιβλιοδεσία παντός εντύπου που χρήζει της εν λόγω  επεξεργασίας (βιβλία, περιοδικά κ.ά).|RespA
4.0|ι. Τη μέριμνα για την ορθή λειτουργία του χώρου της  βιβλιοθήκης.|RespA
4.0|ια. Την εκπόνηση Κανονισμού Λειτουργίας της Βιβλιοθήκης στον οποίο, μεταξύ των άλλων, θα προβλέπεται  το σύστημα δανεισμού και των προϋποθέσεων παροχής  υπηρεσιών εξυπηρέτησης των χρηστών της Βιβλιοθήκης.|RespA
4.0|5. Αρμοδιότητες του Τμήματος Συγχρηματοδοτούμενων Προγραμμάτων.Στην αρμοδιότητα του Τμήματος  Συγχρηματοδοτούμενων Προγραμμάτων υπάγεται η  ευθύνη εκπλήρωσης των υποχρεώσεων του Ε.Κ.Δ.Δ.Α.|Org
4.0|προς τις Διαχειριστικές Αρχές, ως «τελικού δικαιούχου»  πράξεων που εντάσσονται σε Επιχειρησιακά Συγχρηματοδοτούμενα Προγράμματα από Ευρωπαϊκά ή άλλα  διεθνή Ταμεία.|RespA
4.0|Ειδικότερα, στις αρμοδιότητες του εν λόγω Τμήματος  περιλαμβάνονται:|RespA
4.0|α. Η σύνταξη και η εισήγηση προς το Γενικό Γραμματέα του Ε.Κ.Δ.Δ.Α. μέσω της Δ/νσης Προγραμματισμού  και Ανάπτυξης του «Συστήματος Διαχείρισης Έργου»,  και «Οδηγού σύνταξης Πρότασης Υποβολής Έργου» για  τις ανάγκες υλοποίησης δράσεων που αναλαμβάνει το  Ε.Κ.Δ.Δ.Α.|RespA
4.0|β. Η ευθύνη διαχείρισης θεμάτων που σχετίζονται με  τη συμμετοχή του Ε.Κ.Δ.Δ.Α. σε δράσεις διεθνούς χαρακτήρα χρηματοδούμενες από ειδικές πηγές (όπως  «Λοιπές Κοινοτικές Πρωτοβουλίες» κλπ).|RespA
4.0|γ. Η παραλαβή προτάσεων υποβολής έργων από τις  οργανικές μονάδες του Ε.Κ.Δ.Δ.Α. και η σύνταξη με βάση  αυτές τεχνικών δελτίων έργων για την κάλυψη των  αναγκών του Ε.Κ.Δ.Δ.Α.|RespA
4.0|δ. Η πρόταση προς έγκριση από το ΔΣ του Ε.Κ.Δ.Δ.Α.|RespA
4.0|Μηχανισμού Διοίκησης, Παρακολούθησης – Παραλαβής»  και «Συστήματος Διαχείρισης και Εσωτερικού Ελέγχου  των Συγχρηματοδούμενων Πράξεων», για την επαλήθευση των παραδοτέων και των αντίστοιχων δαπανών  που πραγματοποιούνται στο πλαίσιο της εκτέλεσης  των Πράξεων,|RespA
4.0|ε. Η ευθύνη προσδιορισμού επιλέξιμων προς συγχρηματοδότηση δαπανών, η συσχέτιση αναγκών των  οργανικών μονάδων του Ε.Κ.Δ.Δ.Α. με επιλέξιμες δαπάνες, ο έλεγχος των επιλέξιμων δαπανών των Πράξεων,  όπως αυτές προβλέπονται από το ανωτέρω Σύστημα  Διαχείρισης και Εσωτερικού Ελέγχου των Πράξεων  και ειδικότερα ο έλεγχος, μέσω του Ολοκληρωμένου  Πληροφοριακού Συστήματος του ΕΚΔΔΑ, της συσχέτισης των επιλέξιμων άμεσων και εμμέσων δαπανών των  Πράξεων που έχουν καταχωρηθεί από τα Τμήματα της  Διεύθυνσης Οικονομικού,|RespA
4.0|στ. Ο έλεγχος της τήρησης των διαδικασιών που  προβλέπονται στο ισχύον εθνικό και κοινοτικό θεσμικό  πλαίσιο για την υλοποίηση των Πράξεων.|RespA
4.0|ζ. Η έκδοση και αποστολή προς τις Διαχειριστικές  Αρχές των Μηνιαίων Δελτίων Δαπανών και των Τριμηνιαίων Δελτίων Παρακολούθησης Έργου και Υποέργων  των υλοποιούμενων Πράξεων, βάσει των στοιχείων που  παρέχονται από τις οργανικές μονάδες του Ε.Κ.Δ.Δ.Α., οι  οποίες είναι υπεύθυνες για την υλοποίηση του φυσικού  αντικειμένου των Πράξεων,|RespA
4.0|η. Η τήρηση αντιγράφων του οικονομικού φακέλου του  έργου και των υποέργων των υλοποιούμενων Πράξεων,  με αντίγραφα των παραστατικών και δικαιολογητικών  στοιχείων δαπανών ανά υποέργο,|RespA
4.0|θ. Η συνδρομή και διευκόλυνση των αρμοδίων οργάνων κοινοτικών και εθνικών ελέγχων των υλοποιούμενων  Πράξεων με την παροχή στοιχείων οικονομικού αντικειμένου των Πράξεων.|RespA
5.0|Διεύθυνση Διοικητικού 1. Στην Διεύθυνση Διοικητικού ανήκουν οι αρμοδιότητες των Τμημάτων που τη συγκροτούν και τα οποία  είναι:|RespA
5.0|α. Τμήμα Διοίκησης Προσωπικού.|Org
5.0|β. Τμήμα Διοικητικής Μέριμνας.|Org
5.0|γ Το Γραφείο Πρωτοκόλλου.|Org
5.0|δ. Το Αυτοτελές Γραφείο Προσβασιμότητας Ατόμων  με αναπηρίες.|Org
5.0|κού. 2. Αρμοδιότητες του Τμήματος Διοίκησης ΠροσωπιΣτην αρμοδιότητα του Τμήματος Διοίκησης Προσωπικού υπάγεται η εφαρμογή της κείμενης νομοθεσίας,  η οποία άπτεται θεμάτων υπηρεσιακής κατάστασης  του διοικητικού και επιστημονικού προσωπικού, όπως  αναλυτικά περιγράφεται στο Κεφάλαιο Γ.|RespA
5.0|Ειδικότερα, στις αρμοδιότητες του εν λόγω Τμήματος  ανήκουν:|Org
5.0|α. Η έκδοση των αναγκαίων διοικητικών πράξεων  σχετικά με διορισμούς, προσλήψεις, μετατάξεις, αποσπάσεις, τοποθετήσεις, μετακινήσεις, αναθέσεις καθηκόντων, παραιτήσεις, συνταξιοδοτήσεις, αξιολογήσεις,  χορηγήσεις πάσης φύσεως αδειών του προσωπικού.|RespA
5.0|β. Η έκδοση των πάσης φύσεως πιστοποιητικών του  προσωπικού.|RespA
5.0|γ. Η έκδοση των αναγκαίων διοικητικών πράξεων σχετικά με μονιμοποιήσεις, προαγωγές, χορηγήσεις μισθολογικών κλιμακίων και επιδομάτων που προβλέπονται  από την κείμενη νομοθεσία.|RespA
5.0|δ. Η τήρηση του μητρώου του προσωπικού.|RespA
5.0|ε. Η εφαρμογή πειθαρχικών διατάξεων και αποφάσεων  αρμοδίων οργάνων.|RespA
5.0|στ. Η εποπτεία της προσέλευσης και αποχώρησης του  προσωπικού, εκτός των περιπτώσεων για τις οποίες αρμόδια όργανα του Ε.Κ.Δ.Δ.Α. αποφασίζουν διαφορετικά.|RespA
5.0|ζ. Η σύνταξη εκθέσεων ουσιαστικών προσόντων των  η. Η παραπομπή προσωπικού στις υγειονομικές επιυπαλλήλων.|RespA
5.0|τροπές. α. Η ευθύνη της τήρησης του Πρωτοκόλλου της εισερχόμενης και εξερχόμενης αλληλογραφίας του  Ε.Κ.Δ.Δ.Α.|RespA
5.0|β. Η ευθύνη χρέωσης στις Διευθύνσεις και στα Τμήματα του Ε.Κ.Δ.Δ.Α. της εισερχόμενης αλληλογραφίας.|RespA
5.0|γ. Η υπογραφή και θεώρηση πιστών αντιγράφων και  φωτοαντιγράφων.|RespA
5.0|δ. Η διακίνηση και διεκπεραίωση της εξωτερικής και  εσωτερικής αλληλογραφίας του Ε.Κ.Δ.Δ.Α. με βάση και  τις αρχές της ηλεκτρονικής διοίκησης. Για το σκοπό  αυτό, και ειδικότερα για τη διακίνηση της έντυπης αλληλογραφίας εντός των υπηρεσιών του Ε.Κ.Δ.Δ.Α. και προς  τρίτους, το Τμήμα Διοικητικής Μέριμνας έχει την ευθύνη  υποστήριξης του Γραφείου διαθέτοντας το απαραίτητο  ανθρώπινο δυναμικό.|RespA
5.0|ε. Η ευθύνη διαχείρισης των γραμματοσήμων ή των  προπληρωμένων τελών για τις ανάγκες έντυπης αλληλογραφίας.|RespA
5.0|5. Αρμοδιότητες του Αυτοτελούς Γραφείου Προσβασιμότητας Ατόμων με Αναπηρίες Οι αρμοδιότητες του Αυτοτελούς Γραφείου Προσβασιμότητας Ατόμων με Αναπηρίες είναι οι εξής:|RespA
5.0|α. Η προώθηση και παρακολούθηση πάσης φύσεως  ενεργειών, για την άμεση συμμόρφωση προς την υποχρέωση που έχει το Ε.Κ.Δ.Δ.Α. να λαμβάνει όλα τα αναγκαία μέτρα για την εξασφάλιση προσβασιμότητας και  των λοιπών διευκολύνσεων για τα άτομα με αναπηρίες  στους χώρους λειτουργίας του.|RespA
5.0|β. Η μελέτη και εισήγηση για τη λήψη των αναγκαίων  μέτρων για την εξασφάλιση της προσβασιμότητας και  των λοιπών διευκολύνσεων των ΑμεΑ, όπως της εύκολης  προσέγγισης (χώροι στάθμευσης, πεζοδρόμια), εισόδου  και κίνησης εντός των κτιρίων που λειτουργούν υπηρεσίες του Ε.Κ.Δ.Δ.Α. (θύρες, διάδρομοι, ανελκυστήρες)  δημιουργίας των απαραίτητων προϋποθέσεων για την  ανεμπόδιστη πληροφόρηση και εξυπηρέτηση από τους  αρμόδιους υπαλλήλους, με συμβατικές και σύγχρονες  μεθόδους (κατάλληλες θυρίδες συναλλαγής, εξυπηρέτηση από ένα σημείο, πρόσβαση σε εφαρμογές ηλεκτρονικής διοίκησης για πληροφόρηση και εξυπηρέτηση)  και για την διευκόλυνσή τους στη χρήση των ψυκτών  νερού, των τηλεφώνων για το κοινό και διαμόρφωση  χώρων υγιεινής.|RespA
5.0|γ. Η προώθηση, κατεύθυνση και συντονισμός των ενεργειών, καθώς και η παρακολούθηση και ο έλεγχος των  εκτελούμενων έργων, για την εφαρμογή των πιο πάνω  μέτρων και την άμεση συμμόρφωση προς τις υφιστάμενες υποχρεώσεις του Ε.Κ.Δ.Δ.Α. που προβλέπονται  από σχετικές διατάξεις.|RespA
5.0|δ. Η καταγραφή των υφιστάμενων προβλημάτων προσβασιμότητας και λοιπών διευκολύνσεων για τα ΑμεΑ  (υπαλλήλους και εξυπηρετούμενους πολίτες) στους  χώρους που αναπτύσσουν τη δραστηριότητά τους οι  υπηρεσίες του Ε.Κ.Δ.Δ.Α.|RespA
5.0|ε. Η μέριμνα για τη σύνταξη τεχνικών προδιαγραφών  (όπως για τη διαμόρφωση κτιρίων και την προμήθεια  εξοπλισμού), τεχνικών δελτίων έργου, αρχιτεκτονικών  και λοιπών μελετών, επιχειρησιακών προγραμμάτων  δράσης και προϋπολογισμού δαπάνης, για την εκτέλεση  των αναγκαίων έργων προσβασιμότητας και λοιπών διευκολύνσεων των ατόμων με αναπηρίες, στους χώρους  που αναπτύσσει τη δραστηριότητά του το Ε.Κ.Δ.Δ.Α.|RespA
5.0|θ. Η γραμματειακή υποστήριξη του Υπηρεσιακού Συμβουλίου του Ε.Κ.Δ.Δ.Α.|RespA
5.0|υπαλλήλων του Ε.Κ.Δ.Δ.Α.|Irrelevant
5.0|ι. Η έκδοση αποφάσεων για τις μετακινήσεις των  ια. Η τήρηση αρχείου εισερχομένων – εξερχομένων  εγγράφων.|RespA
5.0|ιβ. Η ευθύνη αποστολής υλικού αρμοδιότητας της  Διεύθυνσης προς το Αυτοτελές Τμήμα Επικοινωνίας,  Διεθνών και Δημοσίων Σχέσεων, ύστερα από σχετική  έγκριση του Προϊσταμένου της Διεύθυνσης, προκειμένου  να καταχωρηθεί στο δικτυακό τόπο του ΕΚΔΔΑ., καθώς  επίσης η τυχόν αξιοποίησή του στις έντυπες εκδόσεις  του Κέντρου και την εν γένει δημοσιοποίησή του.|RespA
5.0|3. Αρμοδιότητες του Τμήματος Διοικητικής Μέριμνας.|Org
5.0|Στην αρμοδιότητα του Τμήματος Διοικητικής Μέριμνας ανήκει η παροχή συνδρομής στις υπηρεσίες του  Ε.Κ.Δ.Δ.Α. και ειδικότερα:|Org
5.0|α. Η παραγωγή φωτοαντιγράφων για τις διοικητικές  και εκπαιδευτικές ανάγκες του Κέντρου καθώς και η  διεκπεραίωση εντολών φωτοαντιγραφής προς τρίτους  «αναδόχους» υπηρεσιών φωτοαντιγραφής, εφόσον  υπάρχουν.|RespA
5.0|β. Η βιβλιοδέτηση των σημειώσεων για τις ανάγκες  των εκπαιδευτικών προγραμμάτων.|RespA
5.0|γ. Η μέριμνα για τη συντήρηση και επισκευή των φωτοτυπικών μηχανημάτων του Ε.Κ.Δ.Δ.Α. και του λοιπού  εξοπλισμού του.|RespA
5.0|δ. Η αποστολή εποπτικών μέσων και εκπαιδευτικού  υλικού για τα εκπαιδευτικά προγράμματα που εκτελούνται εκτός των χώρων του κτιρίου του Ε.Κ.Δ.Δ.Α.|RespA
5.0|ε. Η διεκπεραίωση εξωτερικών εργασιών του Ε.Κ.Δ.Δ.Α.,  μεταξύ των οποίων περιλαμβάνεται η διακίνηση της  έντυπης αλληλογραφίας του Κέντρου.|RespA
5.0|στ. Η προετοιμασία των αιθουσών στο κτίριο του  Ε.Κ.Δ.Δ.Α. και η ενημέρωση των αρμοδίων οργάνων για  τυχόν ελλείψεις εξοπλισμού.|RespA
5.0|ζ. Η ευθύνη του ημερήσιου καθαρισμού των χώρων  του κτιρίου του Ε.Κ.Δ.Δ.Α. για τους οποίους δεν έχει  ανατεθεί η σχετική εργασία σε τρίτους.|RespA
5.0|η. Η φύλαξη του κτιρίου κατά το χρονικό διάστημα  του 24ώρου για το οποίο δεν έχει ανατεθεί η σχετική  εργασία σε τρίτους.|RespA
5.0|θ. Η τήρηση της κεντρικής κλειδοθήκης του  ι. Η μέριμνα για τη συντήρηση και τη λειτουργία του  Ε.Κ.Δ.Δ.Α.|RespA
5.0|κτιρίου. 4. Αρμοδιότητες του Γραφείου Πρωτοκόλλου Στην αρμοδιότητα του Γραφείου Πρωτοκόλλου ανήκει  η διαχείριση εισερχόμενης και εξερχόμενης αλληλογραφίας του Ε.Κ.Δ.Δ.Α. και ειδικότερα:|RespA
5.0|στ. Ο σχεδιασμός των κατάλληλων πολιτικών για την  αξιοποίηση του ανθρώπινου δυναμικού με αναπηρίες  που υπηρετεί στο Ε.Κ.Δ.Δ.Α.|RespA
5.0|ζ. Η ενημέρωση και ευαισθητοποίηση του προσωπικού  του Ε.Κ.Δ.Δ.Α. στην κατανόηση των αναγκών και δικαιωμάτων των ατόμων με αναπηρίες.|RespA
5.0|η. Η συνεργασία με το ΥΠ.ΕΣ.Δ.Δ.Α. αλλά και αντίστοιχους φορείς στην Ελλάδα και στο εξωτερικό για την  ανταλλαγή σχετικών πληροφοριών, στοιχείων, τεχνογνωσίας και την αμοιβαία συνδρομή για τη βελτίωση  της πρόσβασης των ατόμων με αναπηρίες στα εκπαιδευτικά προγράμματα του Ε.Κ.Δ.Δ.Α. με τη χρήση κάθε  πρόσφορου μέσου.|RespA
6.0|Διεύθυνση Οικονομικού 1. Στη Διεύθυνση Οικονομικού ανήκουν οι αρμοδιότητες που έχουν σχέση με την υποστήριξη της οικονομικής  διαχείρισης του Ε.Κ.Δ.Δ.Α., όπως ειδικότερα αναλύονται  στις αρμοδιότητες των Τμημάτων που τη συγκροτούν  και τα οποία είναι:|Irrelevant
6.0|α. Τμήμα Εκκαθαρίσεων και Πληρωμών.|Org
6.0|β. Τμήμα Προϋπολογισμού.|Org
6.0|γ. Τμήμα Προμηθειών.|Org
6.0|2. Αρμοδιότητες του Τμήματος Εκκαθαρίσεων και  Πληρωμών.|Org
6.0|Στην αρμοδιότητα του Τμήματος Εκκαθαρίσεων και  Πληρωμών υπάγεται η εκκαθάριση, η ενταλματοποίηση και η πληρωμή των πάσης φύσεως δαπανών του  Ε.Κ.Δ.Δ.Α.|Org
6.0|Ειδικότερα, στις αρμοδιότητες του εν λόγω Τμήματος  περιλαμβάνονται:|Org
